Company Name,Names,Sales Package,Model Number,Model Name,Type,Bluetooth,Memory Card Slot,Configuration,Power Output (RMS),Color,Wired/Wireless,Subwoofer,Wall Mountable Satellite,Built-in Fm Radio,Outdoor Usage,Frequency Response,Power Source,Impedance,Portable,Width,Height,Depth,Cable Length,Satellite Depth,Satellite Height,Satellite Width,Satellite Weight,Subwoofer Weight,Subwoofer Depth,Subwoofer Height,Subwoofer Width,Center Satellite Weight,Center Satellite Depth,Center Satellite Height,Center Satellite Width,Tweeter Diameter,Warranty Summary,Covered in Warranty,Domestic Warranty,Not Covered in Warranty,Warranty Service Type,International Warranty,Driver Size,Chassis Material,Other Features,Remote Control Support,Controls,Separation,Power Input,Sensitivity,Coverage Pattern,Other System Requirements,Technology Used,Price,Reviews,Ratings Count,Ratings,Five Stars,Four Stars,Three Stars,Two Stars,One Stars,Links
Target,"Target TARGET TT-D5109 FM-USB-BT PMPO : 32500 WATTS RMS : 155 WATTS 155 W Bluetooth Home Theatre  (Black, 5.1 Channel)","SUB WOOFER 1, SATELLITE SPEAKERS 5",D5109,TARGET TT-D5109 FM-USB-BT PMPO : 32500 WATTS RMS : 155 WATTS,Home Theatre,Yes,No,5.1,155 W,Black,Wired,1,Yes,Yes,No,,,,,30 cm,70 cm,30 cm,,,,,,,,,,,,,,,6 MONTHS FROM THE DATE OF PURCHASE,MANUFACTURING DEFECTS,6 Months,,,,5.25,,,,,,,,,,,"₹3,324",47 Reviews,318,3.8,150,58,44,18,48,https://www.flipkart.com/target-tt-d5109-fm-usb-bt-pmpo-32500-watts-rms-155-w-bluetooth-home-theatre/p/itmffd3a1b0f1881?pid=ACCGFUJKTJSB6RXF&lid=LSTACCGFUJKTJSB6RXF7WWZBE&marketplace=FLIPKART&store=0pm%2F0o7&srno=b_1_1&otracker=browse&fm=organic&iid=en_56NMjeUv-d0ppD7Upv2m82arC6ZPoPp8p_VvicwuuW7e5Wz6F-Uh9TLjJvDb6j4LYj4EMnXUdkGripWh4QWVlA%3D%3D&ppt=None&ppn=None&ssid=fscbbwebtc0000001701147703359
Panasonic,"Panasonic SC-HT550GW-K 150 W Bluetooth Home Theatre  (Black, 5.1 Channel)","1 Subwoofer, 1 Audio Cable, User Manual, Warranty Card, Remote Control",SC-HT550GW-K,,Home Theatre,Yes,No,5.1,150 W,Black,Wired & Wireless,1,Yes,No,,20Hz-20KHz,AC Adapter,,,34.2 cm,58.5 cm,43.1 cm,1.5 m,111 mm,200 mm,102 mm,,,,,,,,,,,1 Year Warranty,Manufacturing Defects,1 Year,"Physical Damages, Scratches, Aesthetic Defects will Not be Covered Under Warranty",On-site,,"6.5 inch (Subwoofer), 3 inch (Satellite)","Wood (Subwoofer), Plastic (Satellite) Chassis",,,,,,,,,,"₹10,990",102 Reviews,735,4,421,122,52,30,110,https://www.flipkart.com/panasonic-sc-ht550gw-k-150-w-bluetooth-home-theatre/p/itm5b4c563beea1e?pid=ACCG4NSJZGUUGDRT&lid=LSTACCG4NSJZGUUGDRTXQ0JX6&marketplace=FLIPKART&store=0pm%2F0o7&srno=b_1_2&otracker=browse&fm=organic&iid=en_56NMjeUv-d0ppD7Upv2m82arC6ZPoPp8p_VvicwuuW75WJg0c6gC8tQ9ZGlhz3rs2LvJFzONXyA0vGuFKDDmVQ%3D%3D&ppt=None&ppn=None&ssid=fscbbwebtc0000001701147703359
I,"I Kall IK22 40 W Bluetooth Home Theatre  (Black, 2.1 Channel)","2 Satellite Speakers, 1 Remote and 1 Woofer",K22,IK22,Home Theatre,Yes,Yes,2.1,40 W,Black,Wired,,,,Yes,"40Hz-200Hz (Main Unit), 200Hz-20KHz (Satellite)",AC 180V-260V/50Hz,"MAIN UNIT 4 OHMS, SATELLITE 8 OHMS",,22 cm,24 cm,30 cm,,,,,,,,,,,,,,,1 Year Domestic Warranty,Manufacturing Defects,1 Year,Any Type of Damage,"Carry on site,For any warranty related issues, please call the I Kall Customer Support -0120-4731048,helpdesk@ikall.in,https://ikall.in/",1 Year,,,,,,,,,,,,"₹1,439","1,056 Reviews","10,561",3.7,"5,175","1,603","1,163",726,"1,894",https://www.flipkart.com/kall-ik22-40-w-bluetooth-home-theatre/p/itmf3b8eb6bf77e2?pid=ACCFZ9UZZRVSQWGZ&lid=LSTACCFZ9UZZRVSQWGZZYJRMJ&marketplace=FLIPKART&store=0pm%2F0o7&spotlightTagId=BestsellerId_0pm%2F0o7&srno=b_1_3&otracker=browse&fm=organic&iid=e2dc9416-96fc-4028-b1e8-87bb31daf2ba.ACCFZ9UZZRVSQWGZ.SEARCH&ppt=None&ppn=None&ssid=fscbbwebtc0000001701147703359
SONY,"SONY SA-D40 80 W Bluetooth Home Theatre  (Black, 4.1 Channel)","4 Speaker, Stereo Mini Cable x 1, AC Cord x 1, Remote Commander x 1, AC Adapter",SA-D40,SA-D40,Home Theatre,Yes,No,4.1,80 W,Black,Wired,1,Yes,No,,40 - 20000 Hz,DC 18 V,10,,10.6 cm,18.8 cm,9.6 cm,,,,,0.5 kg,5 kg,,,,,,,,,1 Year Warranty,,1 Year,,,,,Wood (Subwoofer) Chassis,Subwoofer Impedance: 4 ohm,,,,,,,,,"₹9,490","5,100 Reviews","39,016",4.4,"26,140","7,602","2,147",820,"2,307",https://www.flipkart.com/sony-sa-d40-80-w-bluetooth-home-theatre/p/itmfy95dvfgcbnsd?pid=ACCFY95D3FRZTWH5&lid=LSTACCFY95D3FRZTWH5FLBP8Y&marketplace=FLIPKART&store=0pm%2F0o7&srno=b_1_4&otracker=browse&fm=organic&iid=e2dc9416-96fc-4028-b1e8-87bb31daf2ba.ACCFY95D3FRZTWH5.SEARCH&ppt=None&ppn=None&ssid=fscbbwebtc0000001701147703359
etmax,"etmax NANO PLUS 30 W Bluetooth Home Theatre  (Black, Stereo Channel)","Speaker, Remote, AUX Cable, Warranty Card",NANO PLUS+ ET-1414 Bluetooth,NANO PLUS,Home Theatre,Yes,Yes,Stereo,30 W,Black,,,,Yes,,,220V AC,,,12.5 cm,20 cm,16.5 cm,,,,,,,,,,,,,,,,Manufacturing defects,6 Months,Breakage and Mishandling,Customer needs to send the product to service centre,,,Wooden Chassis,,,,,,,,,,₹999,653 Reviews,"8,739",3.9,"4,923","1,077",846,555,"1,338",https://www.flipkart.com/etmax-nano-plus-30-w-bluetooth-home-theatre/p/itm1dfc03ee3b202?pid=ACCFZR27PUUGUQYR&lid=LSTACCFZR27PUUGUQYRVWMRUM&marketplace=FLIPKART&store=0pm%2F0o7&srno=b_1_5&otracker=browse&fm=organic&iid=e2dc9416-96fc-4028-b1e8-87bb31daf2ba.ACCFZR27PUUGUQYR.SEARCH&ppt=None&ppn=None&ssid=fscbbwebtc0000001701147703359
Vox,"Vox V7171 90 W Bluetooth Home Theatre  (Black, 7.1 Channel)","7 Speakers, 1 Aux, 1 Remote, Subwoofer",V7171,,Home Theatre,Yes,Yes,7.1,90 W,Black,Wired,,,,,,AC,,,35 cm,25 cm,35 cm,,,,,,,,,,,,,,,,,1 Year,,,1 Year,,,,,,,,,,,,"₹2,499",285 Reviews,"3,946",3.7,"2,040",453,399,246,808,https://www.flipkart.com/vox-v7171-90-w-bluetooth-home-theatre/p/itmb90852708f43e?pid=ACCGD7FQHVZWN9KH&lid=LSTACCGD7FQHVZWN9KHJEGOL1&marketplace=FLIPKART&store=0pm%2F0o7&srno=b_1_6&otracker=browse&fm=organic&iid=e2dc9416-96fc-4028-b1e8-87bb31daf2ba.ACCGD7FQHVZWN9KH.SEARCH&ppt=None&ppn=None&ssid=fscbbwebtc0000001701147703359
None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.flipkart.com/zebronics-bt4440-rucf-60-watt-bluetooth-home-theatre/p/itmea25dnhzbhswb?pid=ACCEA25DZGJUCYYH&lid=LSTACCEA25DZGJUCYYHVAPCEP&marketplace=FLIPKART&store=0pm%2F0o7&srno=b_1_7&otracker=browse&fm=organic&iid=e2dc9416-96fc-4028-b1e8-87bb31daf2ba.ACCEA25DZGJUCYYH.SEARCH&ppt=None&ppn=None&ssid=fscbbwebtc0000001701147703359
SAREGAMA,"SAREGAMA Carvaan Premium Punjabi 10 W Bluetooth Home Theatre  (Royal Blue, Stereo Channel)","1 Music Player, 1 Charger, 1 User Manual, 1 Remote",SC230,Carvaan Premium Punjabi,Home Theatre,Yes,No,Stereo,10 W,Blue,Wireless,,No,Yes,Yes,200-10000 Hz,,4 Ohms,,28.9 cm,22.6 cm,8.4 cm,,,,,,,,,,,,,,,1 Year in-home warranty support (Domestic),,1 Year,,,,,Yes,,Yes,,,,,,,,"₹6,990",7 Reviews,53,4.2,34,9,3,1,6,https://www.flipkart.com/saregama-carvaan-premium-punjabi-10-w-bluetooth-home-theatre/p/itmc8b27591f0c23?pid=ACCGF37G8MYAJS7A&lid=LSTACCGF37G8MYAJS7AXU03WG&marketplace=FLIPKART&store=0pm%2F0o7&srno=b_1_8&otracker=browse&fm=organic&iid=en_56NMjeUv-d0ppD7Upv2m82arC6ZPoPp8p_VvicwuuW4Xh2FnTbeu60y3xht6pP92Z_p6zestWjixY2sXrl7UzA%3D%3D&ppt=None&ppn=None&ssid=fscbbwebtc0000001701147703359
ZEBRONICS,"ZEBRONICS Zeb-Sunshine 60 W Bluetooth Home Theatre  (Black, 4.1 Channel)","1 Subwoofer, 4 Satellite Speaker, Remote, Input Cable, User Manual",Zeb-Sunshine,,Home Theatre,Yes,Yes,4.1,60 W,Black,Wired,1,Yes,Yes,,20 Hz - 20 KHz,AC Adapter,,,23 cm,28 cm,29 cm,,70 mm,135 mm,85 mm,,,270 mm,238 mm,155 mm,,,,,,1 Year Warranty,Manufacturing Defects,1 Year,Any Physical Damage and Accessories,Carry-in,,,,,Wireless,,,,,,,,"₹1,899","1,501 Reviews","12,347",3.6,"5,428","2,246","1,569",887,"2,217",https://www.flipkart.com/zebronics-zeb-sunshine-60-w-bluetooth-home-theatre/p/itm8c38380599e38?pid=ACCFUQ59HHZCHKHZ&lid=LSTACCFUQ59HHZCHKHZ0NEF9N&marketplace=FLIPKART&store=0pm%2F0o7&srno=b_1_9&otracker=browse&fm=organic&iid=e2dc9416-96fc-4028-b1e8-87bb31daf2ba.ACCFUQ59HHZCHKHZ.SEARCH&ppt=None&ppn=None&ssid=fscbbwebtc0000001701147703359
ZEBRONICS,"ZEBRONICS Zeb-Twist 5.1 90 W Bluetooth Home Theatre  (Black, 5.1 Channel)","1 Subwoofer, 5 Satellite Speaker, Remote, Input Cable, User Manual",Zeb-Twist 5.1,,Home Theatre,Yes,Yes,5.1,90 W,Black,Wireless,1,Yes,Yes,,20 Hz - 20 KHz,AC Adapter,,,41.5 cm,33.5 cm,35 cm,,83 mm,173 mm,105 mm,,,310 mm,284 mm,170 mm,,,,,,1 Year Warranty,Manufacturing Defects,1 Year,Any Physical Damage and Accessories,Carry-in,,,,,Wireless,,,,,,,,"₹3,499",907 Reviews,"7,552",3.8,"3,527","1,499",869,440,"1,217",https://www.flipkart.com/zebronics-zeb-twist-5-1-90-w-bluetooth-home-theatre/p/itm61661db38ca67?pid=ACCFUQ59EGBPYQRQ&lid=LSTACCFUQ59EGBPYQRQRVEF7W&marketplace=FLIPKART&store=0pm%2F0o7&srno=b_1_10&otracker=browse&fm=organic&iid=e2dc9416-96fc-4028-b1e8-87bb31daf2ba.ACCFUQ59EGBPYQRQ.SEARCH&ppt=None&ppn=None&ssid=fscbbwebtc0000001701147703359
SAREGAMA,"SAREGAMA Carvaan Premium Marathi 10 W Bluetooth Home Theatre  (Royal Blue, Stereo Channel)","1 Music Player, 1 Charger, 1 User Manual, 1 Remote",Carvaan Premium SC230,Carvaan Premium Marathi,Home Theatre,Yes,No,Stereo,10 W,Blue,Wireless,,No,Yes,Yes,200-10000 Hz,"AC Adapter, Battery",4 ohms,,28.9 cm,22.9 cm,8.4 cm,,,,,,,,,,,,,,,1 Year in-home warranty support (Domestic),Warranty of the product is limited to manufacturing defects only,1 Year,,,,,Yes Chassis,,Yes,REMOTE & APPLICATION,,,,,,,"₹7,090",39 Reviews,502,4.3,334,98,19,10,41,https://www.flipkart.com/saregama-carvaan-premium-marathi-10-w-bluetooth-home-theatre/p/itm34702b57a195e?pid=ACCG36KH54PTXSXH&lid=LSTACCG36KH54PTXSXHTXNYSE&marketplace=FLIPKART&store=0pm%2F0o7&srno=b_1_11&otracker=browse&fm=organic&iid=en_56NMjeUv-d0ppD7Upv2m82arC6ZPoPp8p_VvicwuuW5sW_itoNN937h3ikwCvrNAyAFFDm7FExQC-8DmDiIEtQ%3D%3D&ppt=None&ppn=None&ssid=fscbbwebtc0000001701147703359
Hivi,"Hivi M1000MKIII 70 W Bluetooth Home Theatre  (Brown, Black, 2.0 Channel)","2.0 Bookshelf Speaker, Cable, mannul, Remote",M1000MKIII,,Home Theatre,Yes,,2.0,70 W,"Brown, Black",Wired,,,,,,,,,29 cm,47 cm,35 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"₹16,990",,,,,,,,,https://www.flipkart.com/hivi-m1000mkiii-70-w-bluetooth-home-theatre/p/itm97103521714fc?pid=ACCG4TW4FVY2QE3F&lid=LSTACCG4TW4FVY2QE3FZXE4DE&marketplace=FLIPKART&store=0pm%2F0o7&srno=b_1_12&otracker=browse&fm=organic&iid=en_56NMjeUv-d0ppD7Upv2m82arC6ZPoPp8p_VvicwuuW6DA7P2C-GWOT2Sh3d90T0BGsDRBx5y-dtkcPkqmFtBAA%3D%3D&ppt=None&ppn=None&ssid=fscbbwebtc0000001701147703359
F&D,"F&D 380X 108 W Bluetooth Home Theatre  (Black, 2.1 Channel)","Number of unit: 1, Remote control: 1, Operational manual cum Warranty card: 1,Connection cable: 1, 3.5mm to RCA cable: 1",F380X Peak Power,380X,Home Theatre,Yes,Yes,2.1,108 W,Black,Wired,1,No,,,"110 - 20 KHz(satellite), 30 - 90Hz (subwoofer)",AC Adapter,"4 Ohms (Subwoofer), 6 Ohms (Satellite)",No,46.4 cm,34.5 cm,23.9 cm,,,,,,,,,,4.8 kg,,,,,1 Year f&D India Warranty,Warranty of the product is limited to manufacturing defects only,1 Year,,"Customer needs to call the nearby Authorized Service Center, service engineer will come to the site to get the product repaired or inspected.",,,"No, Plastic Chassis",,Wireless,,,,,,,,"₹4,436","14,883 Reviews","89,600",4.2,"50,713","22,949","7,841","2,674","5,423",https://www.flipkart.com/f-d-380x-108-w-bluetooth-home-theatre/p/itm59232d157f91c?pid=ACCEAXVKXXWFZGDM&lid=LSTACCEAXVKXXWFZGDM32KGHW&marketplace=FLIPKART&store=0pm%2F0o7&srno=b_1_13&otracker=browse&fm=organic&iid=e2dc9416-96fc-4028-b1e8-87bb31daf2ba.ACCEAXVKXXWFZGDM.SEARCH&ppt=None&ppn=None&ssid=fscbbwebtc0000001701147703359
ZEBRONICS,"ZEBRONICS ZEB-BT 6590 RUCF 65 W Bluetooth Home Theatre  (Black, 5.1 Channel)",5 Satellite speaker 1 Sub woofer 1 remote with input cables and a user manual,zeb-bt6590rucf,ZEB-BT 6590 RUCF,Home Theatre,Yes,Yes,5.1,65 W,Black,Wireless,1,No,Yes,,40Hz - 20KHz,AC,4 Ohms,No,27 cm,25 cm,23 cm,,,,,,,,,,,,,,,1 year manufacturing warranty,warranty covers on only product & not on accessories,1 Year,warranty doesn't cover on accessories,On-site service,,,"No, Plastic Chassis",,Wireless,,,,,,,,"₹2,999","1,704 Reviews","13,299",3.9,"6,591","2,882","1,585",704,"1,537",https://www.flipkart.com/zebronics-zeb-bt-6590-rucf-65-w-bluetooth-home-theatre/p/itmekf93s4jdep48?pid=ACCEFDYCSTWHUDB4&lid=LSTACCEFDYCSTWHUDB4UVGNXO&marketplace=FLIPKART&store=0pm%2F0o7&srno=b_1_14&otracker=browse&fm=organic&iid=e2dc9416-96fc-4028-b1e8-87bb31daf2ba.ACCEFDYCSTWHUDB4.SEARCH&ppt=None&ppn=None&ssid=fscbbwebtc0000001701147703359
F&D,"F&D A140X 74 W Bluetooth Home Theatre  (Black, 2.1 Channel)","Number of unit: 1, Remote control: 1, Operational manual cum Warranty card: 1,Connection cable: 1, 3.5mm to RCA cable: 1",A140X Peak Power,A140X,Home Theatre,Yes,No,2.1,74 W,Black,,1,No,,,Satellites: 160Hz~20KHz Subwoofer: 45Hz~105Hz,ADPTER,NA,No,25 cm,38 cm,29 cm,,,,,,,,,,,,,,,,,1 Year,,,,,"No, Plastic Chassis",,,,,,,,,,"₹3,844","14,883 Reviews","89,600",4.2,"50,713","22,949","7,841","2,674","5,423",https://www.flipkart.com/f-d-a140x-74-w-bluetooth-home-theatre/p/itm7e32f222fce03?pid=ACCESG832CSGPGCT&lid=LSTACCESG832CSGPGCTPMN2EX&marketplace=FLIPKART&store=0pm%2F0o7&srno=b_1_15&otracker=browse&fm=organic&iid=e2dc9416-96fc-4028-b1e8-87bb31daf2ba.ACCESG832CSGPGCT.SEARCH&ppt=None&ppn=None&ssid=fscbbwebtc0000001701147703359
ZEBRONICS,"ZEBRONICS Zeb-Omega 7, Bluetooth v5.0, USB, AUX, line input, Volume & Bass control 120 W Bluetooth Home Theatre  (Black, 7.1 Channel)","1 Subwoofer, Input Cable, Remote Control, User Manual, 7 Satellites",Zeb- Omega 7,"Zeb-Omega 7, Bluetooth v5.0, USB, AUX, line input, Volume & Bass control",Home Theatre,Yes,Yes,7.1,120 W,Black,Wireless,1,Yes,Yes,Yes,20Hz - 20kHz,,"Subwoofer - 4, Satellite - 6",,34 cm,32 cm,32 cm,,70 mm,200 mm,95 mm,1.8 kg,3 kg,290 mm,210 mm,150 mm,,,,,,1 year carry into service center,Manufacturing defect,1 Year,Any physical damage,1 year carry into service center,,"Subwoofer - 10.16cm x 1, Satellite - 7.62cm x 7",,,,,45dB,,,,,,"₹3,299",212 Reviews,"1,867",3.8,933,356,211,92,275,https://www.flipkart.com/zebronics-zeb-omega-7-bluetooth-v5-0-usb-aux-line-input-volume-bass-control-120-w-home-theatre/p/itmc913bb69b0434?pid=ACCGQCVHJJ3ZVJJF&lid=LSTACCGQCVHJJ3ZVJJFB3K0XG&marketplace=FLIPKART&store=0pm%2F0o7&srno=b_1_16&otracker=browse&fm=organic&iid=e2dc9416-96fc-4028-b1e8-87bb31daf2ba.ACCGQCVHJJ3ZVJJF.SEARCH&ppt=None&ppn=None&ssid=fscbbwebtc0000001701147703359
Target,"Target TARGET TT-D5196 5.1 MULTIMEDIA SPEAKERS WITH COPPER TRANSFORMER 5.25"" SUB 155 W Bluetooth Home Theatre  (Black, 5.1 Channel)","SUBWOOFER - 1 NO., SPEAKERS - 5, REMOTE - 1",D5196,"TARGET TT-D5196 5.1 MULTIMEDIA SPEAKERS WITH COPPER TRANSFORMER 5.25"" SUB",Home Theatre,Yes,No,5.1,155 W,Black,Wired,1,Yes,Yes,No,,,,,30 cm,70 cm,30 cm,,,,,,,,,,,,,,,6 MONTHS FROM THE DATE OF PURCHASE,MANUFACTURING DEFECTS,6 Months,DAMAGED ITEMS ARE NOT COVERED UNDER WARRANTY,"SERVICE RELATED QUERIES : CHENNAI, TAMIL NADU, maktechkraftindia@gmail.com, CUSTOMER CARE NO : 8333895000 (10 AM TO 5 PM FROM MONDAY TO FRIDAY)",,5.25,,,YES,,,,,,,,"₹3,299",0 Reviews,14,3.9,,,,,,https://www.flipkart.com/target-tt-d5196-5-1-multimedia-speakers-copper-transformer-5-25-sub-155-w-bluetooth-home-theatre/p/itm5a004733b8a17?pid=ACCGJS88XEFQV2JD&lid=LSTACCGJS88XEFQV2JDVCPACV&marketplace=FLIPKART&store=0pm%2F0o7&srno=b_1_17&otracker=browse&fm=organic&iid=en_56NMjeUv-d0ppD7Upv2m82arC6ZPoPp8p_VvicwuuW42U4ZGiHGzFW9lrdRns-Ij1oyI6zpQmHoBVvb4y2171g%3D%3D&ppt=None&ppn=None&ssid=fscbbwebtc0000001701147703359
None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.flipkart.com/panasonic-sc-ht460gw-k-100-w-bluetooth-home-theatre/p/itm66cf5b5135ea5?pid=ACCGFGC6YZZDVFHG&lid=LSTACCGFGC6YZZDVFHGFJRBPO&marketplace=FLIPKART&store=0pm%2F0o7&srno=b_1_18&otracker=browse&fm=organic&iid=en_56NMjeUv-d0ppD7Upv2m82arC6ZPoPp8p_VvicwuuW6eLF0kVmgjfMAIF3aAeWgIiWv5oUPfUhomG8STULLYdA%3D%3D&ppt=None&ppn=None&ssid=fscbbwebtc0000001701147703359
F&D,"F&D A180X 84 W Portable Bluetooth Home Theatre  (Black, 2.1 Channel)","Number of unit: 1, Remote control: 1, Operational manual cum Warranty card: 1,Connection cable: 1, 3.5mm to RCA cable: 1",A180X Peak Power,A180X,Home Theatre,Yes,No,2.1,84 W,Black,,1,No,,,35-200 hz,AC Adapter,4 ohms,Yes,28 cm,40 cm,20 cm,,,,,,,,,,,,,,,1 year from manufacturer,,1 Year,,,,,"No, Plastic Chassis",,,,,230V ac,,,,,"₹3,942","14,883 Reviews","89,600",4.2,"50,713","22,949","7,841","2,674","5,423",https://www.flipkart.com/f-d-a180x-84-w-portable-bluetooth-home-theatre/p/itmf5170636eea20?pid=ACCEPCPRHVPE7UPJ&lid=LSTACCEPCPRHVPE7UPJEKZQ3B&marketplace=FLIPKART&store=0pm%2F0o7&srno=b_1_19&otracker=browse&fm=organic&iid=e2dc9416-96fc-4028-b1e8-87bb31daf2ba.ACCEPCPRHVPE7UPJ.SEARCH&ppt=None&ppn=None&ssid=fscbbwebtc0000001701147703359
F&D,"F&D F550X 112 W Bluetooth Home Theatre  (Black, 2.1 Channel)","Number of unit: 1, Remote control: 1, Operational manual cum Warranty card: 1,Connection cable: 1, 3.5mm to RCA cable: 1, 2 Speakers",F550X Peak Power,F550X,Home Theatre,Yes,Yes,2.1,112 W,Black,Wireless,,,,,"30Hz-110Hz(Subwoofer), 130Hz-20kHz(Satellite)",AC Adapter,"8 Ohms (Satellite), 4 Ohms (Subwoofer)",No,31 cm,43.9 cm,31 cm,,,,,,,,,,,,,,,1 Year Warranty,,1 Year,,,,,,,,,,,,,,,"₹4,799","14,883 Reviews","89,600",4.2,"50,713","22,949","7,841","2,674","5,423",https://www.flipkart.com/f-d-f550x-112-w-bluetooth-home-theatre/p/itm68a5298e8256f?pid=ACCEA2ASHNDGV4DP&lid=LSTACCEA2ASHNDGV4DPH2ESWQ&marketplace=FLIPKART&store=0pm%2F0o7&srno=b_1_20&otracker=browse&fm=organic&iid=e2dc9416-96fc-4028-b1e8-87bb31daf2ba.ACCEA2ASHNDGV4DP.SEARCH&ppt=None&ppn=None&ssid=fscbbwebtc0000001701147703359
SAREGAMA,"SAREGAMA Carvaan Telugu 10 W Bluetooth Home Theatre  (Cherrywood Red, Stereo Channel)","1 Music Player, 1 Charger, 1 User Manual, 1 Remote",SC03,Carvaan Telugu,Home Theatre,Yes,No,Stereo,10 W,Red,Wireless,,No,Yes,Yes,200-10000 Hz,AC Adapter,4 Ohms,,27 cm,17 cm,8 cm,1.2 m,,,,,,,,,,,,,,One Year domestic warranty against manufacturing defects,,1 Year,,,,,"Yes, ABS plastic Chassis",,Yes,"Previous, Next, Knob Dial, Volume, Mode Buttons",,,,,,,"₹6,790",5 Reviews,65,4,37,13,4,2,9,https://www.flipkart.com/saregama-carvaan-telugu-10-w-bluetooth-home-theatre/p/itmf4h6cxtnzwmfu?pid=ACCGGJG4SNWGYQWF&lid=LSTACCGGJG4SNWGYQWFJPJ4YQ&marketplace=FLIPKART&store=0pm%2F0o7&srno=b_1_21&otracker=browse&fm=organic&iid=en_56NMjeUv-d0ppD7Upv2m82arC6ZPoPp8p_VvicwuuW4fpMfuLnT6oHkWty1TyE7dO9Ova70grV90SIooCBjR1w%3D%3D&ppt=None&ppn=None&ssid=fscbbwebtc0000001701147703359
SAREGAMA,"SAREGAMA Carvaan Tamil 10 W Bluetooth Home Theatre  (Cherrywood Red, Stereo Channel)","1 Music Player, 1 Charger, 1 User Manual, 1 Remote",Carvaan Tamil,,Home Theatre,Yes,No,Stereo,10 W,Red,Wireless,,No,Yes,,200-10000 Hz,Battery,4 Ohms,,28.9 cm,22.6 cm,8.4 cm,,,,,,,,,,,,,,,,,,,,,,"Yes, ABS Plastic Chassis",,Yes,"Previous, Next, Knob Dial, Volume, Mode Buttons",,"220 V, 50 Hz, 6 W",,,,,"₹6,290",68 Reviews,585,4.4,382,124,28,12,39,https://www.flipkart.com/saregama-carvaan-tamil-10-w-bluetooth-home-theatre/p/itmf7ds9xmzkqkfu?pid=ACCF7DQKBHUHAZVZ&lid=LSTACCF7DQKBHUHAZVZHTDHTS&marketplace=FLIPKART&store=0pm%2F0o7&srno=b_1_22&otracker=browse&fm=organic&iid=en_56NMjeUv-d0ppD7Upv2m82arC6ZPoPp8p_VvicwuuW7myGwNH4VoudzGH8SxJyACkPlvOVW1RHfaU2GISb6acw%3D%3D&ppt=None&ppn=None&ssid=fscbbwebtc0000001701147703359
Intex,"Intex IT-XM BANG SUFB 78 W Bluetooth Home Theatre  (Black, 4.1 Channel)","4 Speakers, 1 SubWoofer, 1 Remote",IT-4.1 XM BANG SUFB / 4.1 BANG PLUS FMUB OS,IT-XM BANG SUFB,Home Theatre,Yes,No,4.1,78 W,Black,Wired & Wireless,1,,Yes,,"Main Unit : 20Hz - 200Hz, Satellite : 200Hz - 20KHz",AC Adapter,"Main unit : 4 Ohm , Satellite : 4 Ohm",,20.6 cm,44 cm,31.6 cm,,,,,,,,,,,,,,,1 Year Manufacturer Warranty,,1 Year,,Customer Need to Contact Nearest Service Center,,,,,,,,,,,,,"₹3,209","3,260 Reviews","27,962",4,"14,750","6,358","2,637","1,186","3,031",https://www.flipkart.com/intex-it-xm-bang-sufb-78-w-bluetooth-home-theatre/p/itm25359525afb95?pid=ACCF2WXKQFFKGFFY&lid=LSTACCF2WXKQFFKGFFYLQEBNO&marketplace=FLIPKART&store=0pm%2F0o7&srno=b_1_23&otracker=browse&fm=organic&iid=e2dc9416-96fc-4028-b1e8-87bb31daf2ba.ACCF2WXKQFFKGFFY.SEARCH&ppt=None&ppn=None&ssid=fscbbwebtc0000001701147703359
I,"I Kall IK666 80 W Bluetooth Home Theatre  (Black, 5.1 Channel)","5 Satellite Speakers,1 Woofer and 1 Remote",IK- 666 Bluetooth,IK666,Home Theatre,Yes,Yes,5.1,80 W,Black,,,,,,"40Hz-200Hz (Main Unit), 200Hz-20KHz (Satellite)",AC 180V-260V/50Hz,"MAIN UNIT 4 OHMS, SATELLITE 8 OHMS",,35 cm,29 cm,25 cm,,,,,,,,,,,,,,,,,1 Year,,,1 Year,,,,,,,,,,,,"₹2,299",904 Reviews,"10,025",3.7,"5,208","1,259","1,028",713,"1,817",https://www.flipkart.com/kall-ik666-80-w-bluetooth-home-theatre/p/itmffptqzgkf5hug?pid=ACCFFPYGJ7BXZGHF&lid=LSTACCFFPYGJ7BXZGHFY5XTGI&marketplace=FLIPKART&store=0pm%2F0o7&srno=b_1_24&otracker=browse&fm=organic&iid=e2dc9416-96fc-4028-b1e8-87bb31daf2ba.ACCFFPYGJ7BXZGHF.SEARCH&ppt=None&ppn=None&ssid=fscbbwebtc0000001701147703359
